Sensor_1,1596180500,34.2
Sensor_1,1596180501,35.5
Sensor_1,1596180503,40.3
Sensor_1,1596180506,23.6
Sensor_1,1596180502,40.3
Sensor_1,1596180508,29.5
Sensor_2,1596180508,29.5
Sensor_3,1596180508,29.5
Sensor_4,1596180508,29.5
Sensor_1,1596180510,29.5
Sensor_1,1596180512,29.5
Sensor_1,1596180513,29.5
Sensor_1,1596180514,26.5
Sensor_1,1596180516,29.5
Sensor_1,1596180511,28.5
Sensor_1,1596180515,29.5
Sensor_1,1596180517,29.5
Sensor_1,1596180522,29.5
Sensor_1,1596180527,29.5
Sensor_1,1596180533,29.5
